Family	Fun2DBS01	Fun2DBS02	Fun2DBS03	Fun2DBS04	Fun2DBS05	Fun2DBS06	Fun2DMH6301	Fun2DMH6302	Fun2DMH6303	Fun2DMH6304	Fun2DMH6305	Fun2DMH6306	Fun2DMH6307	Fun2DMH6308	Fun2DMH6309	Fun2DMH6310	Fun2DMH6311	Fun2DMH6312	Fun2DMH63ZH01	Fun2DMH63ZH02	Fun2DMH63ZH03	Fun2DMH63ZH04	Fun2DMH63ZH05	Fun2DMH63ZH06	Fun2DMH63ZH07	Fun2DMH63ZH08	Fun2DMH63ZH09	Fun2DMH63ZH10	Fun2DMH63ZH11	Fun2DMH63ZH12	Fun2DMH63ZH13	Fun2DMH63ZH14	Fun2DMH63ZH15	Fun2DWYJ01	Fun2DWYJ02	Fun2DWYJ03	Fun2DWYJ04	Fun2DWYJ05	Fun2DWYJ06	Fun2DWYJ07	Fun2DWYJ08	Fun2DWYJ09	Fun2DWYJ10	Fun2DWYJ11	Fun2DWYJ12	Fun2DWYJ13	Fun2DWYJ14	Fun2DWYJ15	Fun2WBS01	Fun2WBS02	Fun2WBS03	Fun2WBS04	Fun2WBS05	Fun2WBS06	Fun2WMH6301	Fun2WMH6302	Fun2WMH6303	Fun2WMH6304	Fun2WMH6305	Fun2WMH6306	Fun2WMH6307	Fun2WMH6308	Fun2WMH6309	Fun2WMH6310	Fun2WMH6311	Fun2WMH6312	Fun2WMH63ZH01	Fun2WMH63ZH02	Fun2WMH63ZH03	Fun2WMH63ZH04	Fun2WMH63ZH05	Fun2WMH63ZH06	Fun2WMH63ZH07	Fun2WMH63ZH08	Fun2WMH63ZH09	Fun2WMH63ZH10	Fun2WMH63ZH11	Fun2WMH63ZH12	Fun2WMH63ZH13	Fun2WMH63ZH14	Fun2WMH63ZH15	Fun2WWYJ01	Fun2WWYJ02	Fun2WWYJ03	Fun2WWYJ04	Fun2WWYJ05	Fun2WWYJ06	Fun2WWYJ07	Fun2WWYJ08	Fun2WWYJ09	Fun2WWYJ10	Fun2WWYJ11	Fun2WWYJ12	Fun2WWYJ13	Fun2WWYJ14	Fun2WWYJ15	FunDBS01	FunDBS02	FunDBS03	FunDBS04	FunDBS05	FunDBS06	FunDMH6301	FunDMH6302	FunDMH6303	FunDMH6304	FunDMH6305	FunDMH6306	FunDMH6307	FunDMH6308	FunDMH6309	FunDMH6310	FunDMH6311	FunDMH6312	FunDMH6313	FunDMH6314	FunDMH6315	FunDMH63ZH01	FunDMH63ZH02	FunDMH63ZH03	FunDMH63ZH04	FunDMH63ZH05	FunDMH63ZH06	FunDMH63ZH07	FunDMH63ZH08	FunDMH63ZH09	FunDMH63ZH10	FunDMH63ZH11	FunDMH63ZH12	FunDMH63ZH13	FunDMH63ZH14	FunDMH63ZH15	FunDWYJ01	FunDWYJ02	FunDWYJ03	FunDWYJ04	FunDWYJ05	FunDWYJ06	FunDWYJ07	FunDWYJ08	FunDWYJ09	FunDWYJ10	FunDWYJ11	FunDWYJ12	FunDWYJ13	FunDWYJ14	FunDWYJ15	FunWBS01	FunWBS02	FunWBS03	FunWBS04	FunWBS05	FunWBS06	FunWMH6301	FunWMH6302	FunWMH6303	FunWMH6304	FunWMH6305	FunWMH6306	FunWMH6307	FunWMH6308	FunWMH6309	FunWMH6310	FunWMH6311	FunWMH6312	FunWMH6313	FunWMH6314	FunWMH6315	FunWMH63ZH01	FunWMH63ZH02	FunWMH63ZH03	FunWMH63ZH04	FunWMH63ZH05	FunWMH63ZH06	FunWMH63ZH07	FunWMH63ZH08	FunWMH63ZH09	FunWMH63ZH10	FunWMH63ZH11	FunWMH63ZH12	FunWMH63ZH13	FunWMH63ZH14	FunWMH63ZH15	FunWWYJ01	FunWWYJ02	FunWWYJ03	FunWWYJ04	FunWWYJ05	FunWWYJ06	FunWWYJ07	FunWWYJ08	FunWWYJ09	FunWWYJ10	FunWWYJ11	FunWWYJ12	FunWWYJ13	FunWWYJ14	FunWWYJ15	All
Unassigned	91.6	85.4	89.6	86.9	97.1	93.1	81.1	93.2	97.5	77.5	94.1	77.8	87.4	92.8	88	83	93.7	95	96.8	89	86.7	98	99	60.1	90.9	82.9	92.5	98.5	88.8	96.6	63.7	98.4	95	97.1	94.8	98	98.4	98.9	98.3	93.1	96.1	98.7	95.7	91.7	98.1	97.1	92.5	94.9	89.1	95.5	96.6	95.9	95.1	93.3	85	85	86.5	90.1	97.2	89	94.3	95.3	88.9	97.6	92.3	98.3	96.7	94.6	93.4	97.8	96.2	92	98.9	97.7	99.1	89.7	92.4	87.3	89.2	87	91.7	98.6	85	92.2	98.5	98.7	98.9	97.9	99.2	98.3	94.4	96.5	98.9	99	97.1	99.2	77.2	81.1	75.4	78.4	76.9	80.8	80	84.3	90.2	88.6	70.6	93.2	66.4	93.8	88	89.1	82	92.6	69.7	85.8	78.6	90.8	83.3	91.4	91.2	87	93.6	91.1	91.9	77.8	70.7	84.4	95	95.8	90.4	74.6	83.5	81.7	72.4	81.7	72.3	88.9	86.3	68.6	81.1	62.5	87.7	85.2	84.1	74.2	89.1	84.5	85.8	81.1	73.5	91.1	92	96.5	93.4	96.2	96.5	95.6	90	94	93.8	80.3	82.7	81.9	84.6	88.3	92.5	83.3	94.5	91.2	82.2	65.6	83	91.1	95.2	93.1	90.8	82.2	91.7	90	79.6	95.6	87.3	93.8	93	97.7	98.3	70.5	96.7	98.6	95	93.2	95	97.2	69.5	96.2	95.6	97.2	85.1
Aspergillaceae	1.62	0.0606	0.101	0.142	0.141	0.151	0.351	0.11	0.13	0.545	0.0607	0.585	0.789	0.863	0.453	0.222	0.0505	0.0807	0.112	0.101	0.131	0.0405	0.0404	0.0606	0.081	0.0503	0.111	0.0502	0.0906	0.0708	0.0202	0.0403	0.131	0.121	0.01	0.0202	0.01	0.0202	0	0.0404	0.0906	0.03	0.192	0.0402	0.0607	0.0806	0.0301	0.0606	0.121	0.172	0.0906	0.0704	0.142	0.0907	0.0303	0.0403	0.0302	0.0101	0.0101	0.111	0.0402	0.0201	0.515	0.0609	0.0304	0.0403	0.0499	0.0405	0.101	0.12	0.0405	1.84	0.0101	0.101	0.0606	0.0505	0.0304	0.0202	0.0303	0	0.0303	0.11	0.161	0.11	0.141	0.12	0.131	0.141	0.0907	0.121	0.231	0.0806	0.111	0.0802	0.151	0.0702	6.11	5.02	6.84	6.06	6.22	5.02	0.0701	0.0606	0.0607	0.0504	0.0606	0.0605	0.141	0.0403	0.0707	0.182	0.141	0.0806	0.0302	0.101	0.0504	0.131	0.696	0.0808	0.272	0.121	0.122	0.162	0.0404	0.262	0.111	0.0805	0.0907	0.0705	0.0812	0.0906	0.373	0.0902	0.404	0.0903	0.0201	0.1	0.0403	0.0302	0.192	0.0703	0.101	0.36	0.191	0.897	0.221	1.65	1.82	2.19	4.29	2.29	2.18	0.0604	0.0708	0.262	0.192	0.111	0.0805	0.263	0.122	0.0504	0.252	0.131	0.111	0.283	0.344	0.304	0.292	0.121	0.0807	0.121	0.141	0.121	0.193	0.121	0.224	0.132	0.0703	0.192	0.192	0.232	0.314	0.0699	0.181	0.0604	0.121	0.0403	0.242	0.0604	0.142	0.0914	0.202	0.17	0.221	0.0709	0.0908	0.0808	1.0
Glomeraceae	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0101	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00999	0.0101	0.0101	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0.0101	0.0101	0	0	0.01	0.282	0.231	0.171	0.251	0.252	0.262	0	0.0505	0	0	0	0	0	0	0	0	0	0.0202	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0.0101	0	0.0101	0	0	0	0	0.0202	0	0	0	0	0	0	0	0.0101	0.02	0.0101	0	0.01	0.0101	0.0802	0	0.0403	0.01	0.01	0	0	0	0	0	0.0101	0	0	0	0.0101	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0.0403	0	0	0	0	0.0102	0.0101	0	0	0	0.0202	0	0.6
Nectriaceae	0.333	0.495	0.959	0.446	0.251	0.513	0.14	0.02	0.04	0.333	0.0607	0.282	0.243	0	0.121	0	0	0.0404	0.0102	0.172	0.979	0.0101	0	0.0505	0.111	0.0101	0.0906	0.01	0.0302	0.0202	0.263	0.161	0.111	0.0604	0.0301	0	0.0903	0.0303	1.1	0.0202	0.0201	0.01	0.0911	0.0703	0.0708	0.0806	0.0301	0.0303	0.607	0.515	0.322	0.312	0.81	0.524	0.0606	0.0403	0.0504	0	0.0302	0.0506	0.131	0.1	0.353	0.0811	0.162	0.141	0.03	0.0101	0.0707	0.0501	0.202	0.0303	0.0101	0.0405	0.0707	0.111	0.0202	0.151	0.0303	0.0101	0.0303	0.0501	0.312	0.0401	0.01	0	0.0101	0.0303	0.0302	0.0303	0.0401	0.0504	0	0.01	0.0804	0.0201	3.83	2.02	4.27	2.38	3.99	1.99	1.76	5.16	3	4.14	8.45	2	14.3	1.51	6.56	2.54	8.26	1.32	2.31	8.51	2.98	1.52	2.82	2.38	0.817	3.36	1.45	2.7	2.85	1.23	26.3	1.38	1.6	0.836	3.46	16.2	6.15	10.2	21.8	6.6	24.2	2.09	9.56	19.5	1.54	31.3	7.58	8.52	6.84	11.3	3.79	0.896	0.953	1.17	2.6	0.592	0.461	0.865	4.21	0.948	0.911	0.374	0.604	1.42	0.761	8.81	1.97	2.36	3.22	3.92	2.29	1.89	0.483	1.39	7.75	4.3	1.72	3.26	1.23	4.81	1.9	1.09	1.7	1.03	0.586	0.94	1.75	0.36	3.91	0.745	0.312	28.7	1.13	0.584	2.14	3.09	0.364	0.34	1.03	1.01	0.333	0.596	0.5
Gigasporaceae	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.0101	0	0	0.0101	0.0101	0.0101	0.01	0	0	0	0	0.0101	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0.01	0	0	0	0.0101	0.00999	0	0.0101	0.01	0	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111	0.0503	0.0807	0.0502	0.121	0.0403	0.01	0.0101	0	0.0101	0	0.0605	0	0.121	0	0	0.0403	0.0302	0	0.0303	0	0	0.0101	0	0	0.0101	0	0.0101	0.0101	0	0	0.0302	0.0101	0	0	0.0101	0.0101	0.02	0.0303	0	0	0.0501	0	0	0.0101	0.01	0.0706	0.11	0	0.0504	0.0702	0.0403	0.0201	0.0502	0.0101	0.0402	0.02	0	0	0	0	0	0.0101	0	0	0	0.0101	0.0101	0.0101	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0.4
Pleosporaceae	0	0	0.0101	0.0304	0	0.0201	0.442	0.39	0.45	1.11	0.263	4.51	1.65	0.261	1.97	10.3	0.909	1.36	0.306	5.13	7.79	0.871	0.243	27.6	0.557	0.0705	2.5	0.171	3.05	0.121	25.6	0.242	2.56	0.212	0.361	0.988	0.0803	0.101	0.0502	0.151	0.362	0.03	0.263	0.934	0.263	0.192	1.2	0.313	0.0101	0	0	0.0201	0.0304	0.181	6.29	2.7	0.373	1.49	1.33	0.0708	2.16	1.8	1.98	0.862	2.16	0.171	0.0599	2.02	0.667	0.411	0.344	0.323	0.232	0.405	0.121	2.51	3.47	8.47	4.62	0.292	1.17	0.341	6.53	2.82	0.0603	0.0803	0.0805	0.696	0.131	0.0908	2.3	1.6	0.131	0.0501	0.492	0.0502	0.222	0.0201	0.212	0.0301	0.191	0.0302	0.381	1.25	1.08	1.2	3.63	0.464	0.815	0.231	0.404	1.36	1.96	0.796	3.14	0.232	0.947	0.302	1.95	1.2	0.293	0.996	0.132	0.929	0.575	1.98	0.111	0.945	0.363	0.302	0.933	1.25	2.26	0.621	0.626	1.36	0.0704	0.261	1.22	7.55	0.101	3.44	0.636	3.48	2.29	4.41	1.39	0	0	0.01	0.0403	0	0	0.553	0.465	0.757	0.415	0.869	2.48	0.132	3.48	0.716	0.565	2.65	0.535	0.162	1.17	5.75	0.462	3.48	2.12	2.4	0.463	0.849	0.264	0.111	1.54	1.33	0.191	1.06	0.273	0.798	3.89	1.06	0.171	0.151	0.0201	0.191	0.232	0.0705	0.455	0.0406	0.303	0.0801	0.855	0.162	1.94	0.717	0.3
Lasiosphaeriaceae	0.252	0.778	0.515	0.253	0.0603	0.403	0	0	0.02	0.0101	0	0	0.0101	0	0.0101	0.0504	0.364	0.868	0	0	0	0	0	0	0	0.0805	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19	1.75	0.343	0.131	0.523	1.27	0.706	0	0.272	0.272	0.323	0.0202	0	0	0	0.202	0	0.233	0.0302	0.00999	0.0202	0.0606	0.0301	0.0405	0.131	0.0101	0	0.0202	0	1.43	0	0	0.0807	0.0101	0.16	0.161	0.0902	0.623	0.512	0	0.0605	0	0.101	0.14	0.0302	0.0302	0.16	0.0603	0.0401	0.615	1.22	0.696	1.49	0.654	1.3	0.13	0.101	0.0506	0.312	0.0101	0.182	0.0805	0.171	0.0303	0.0908	0.0403	0.111	0.151	3.51	0.0302	0.0504	0.0202	0.0101	0.0101	0.232	0.0405	0.0101	0.0101	0.0201	0.0101	0.0905	0	0	0.0101	0.0101	0.131	0.0301	0.212	0.11	0.0101	0.1	0.0302	0.181	0.525	0.151	0.151	0.05	0.0604	0.0504	0.582	4.3	2.91	5.33	4.89	1	0.801	0.0201	0.162	0.0403	0.0405	0.303	0	0.0202	0.0508	0	0.131	0.152	0.192	0.0505	0.0101	0	0.0201	0.0101	0	0	0.0403	0.344	0.0811	0.0202	0.254	0.0101	0.1	0.0405	0.0809	0.0101	0.0203	0.04	0.0602	0.101	0.0201	0.0201	0.0101	0.0201	0.0101	0.122	0.0303	0.01	0.0402	0.365	0.141	0.141	0.3
Xylonomycetales_fam_Incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101	0.0101	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Hypocreales_fam_Incertae_sedis	0.151	0.232	0.273	0.132	0.111	0.181	0.0401	0.04	0.04	0.111	0.283	0.373	0.202	0.01	1.55	1.09	0.0101	0.0202	0.112	0.182	0.514	0.253	0.0202	0.202	0.101	0.0302	0.131	0.0602	0.0403	0.0303	3.13	0.0302	0.283	0.0604	0.0501	0.0302	0.0201	0.0202	0	0.303	0.0201	0.03	0.172	0.0402	0.0202	0.0706	0.0401	0.0505	0.313	0.182	0.131	0.241	0.122	0.333	1.65	0.191	0.0202	2.69	0.111	0	0.0402	0.0301	0.0202	0.0811	0	0	0.12	0.0708	2.76	0.11	0.0506	1.01	0.0101	0.152	0.0202	0.747	0.111	0.0605	0.232	0.0202	0.0202	0.0601	1.5	0.381	0.0804	0.0201	0.0101	0.0303	0.0202	0.0908	0.0602	0.201	0.0704	0.0501	0.271	0.0201	0.202	0.814	0.232	0.953	0.201	0.886	0.02	0.687	0.405	0.614	0.333	0.111	0.0201	0	0.434	0.0404	0.363	0.0605	0.141	0.0303	0.101	0.765	0.151	0.596	0.0101	0.856	0.0101	0.0909	0.0202	0.0302	0.0201	0.543	0.0201	0.0503	0.122	0.674	0.0907	0.13	0.0202	0.01	0.0101	0	0.0604	0.635	0	0.171	0.0101	0.06	0.0302	0.0302	0.12	0.604	0.0902	0.754	0.564	0.141	0.1	0	0.142	0	0	0.0101	0.0101	0.0202	0.0102	0	0.0101	0	0.0101	0.283	0.0101	0	0.0302	0	0	0.0202	0.0101	0	0.0203	0	0.0305	0.0709	0	0.0101	0	0.172	0.0304	0.00999	0.01	0	0	0	0.0101	0.0201	0	0	0	0.02	0.221	0	0	0.101	0.3
Stachybotryaceae	0.0101	0.0404	0.0101	0.0101	0.0101	0.0302	0.401	0.21	0.11	0.404	0.0911	0.474	0.425	0.0803	0.282	0.121	0.0404	0.0505	0.795	0.192	0.242	0.0304	0.0404	1.19	0.132	0.0604	0.211	0.0401	0.101	0.0303	0.354	0.0705	0.273	0.0504	0.0301	0.0101	0.01	0.0404	0.01	0	0.181	0.03	0.0101	0.0201	0.0809	0	0.0401	0.313	0.0101	0	0	0	0.0203	0	0.333	1.98	0.0302	0.0202	0.0202	0.0303	0.261	0	0.0505	0.101	0.0405	0.0202	0.0699	0.0708	0.131	0.0401	0.0303	0.575	0.0303	0.0607	0.0101	0.0909	0.101	0.0504	2.19	0.151	0.0504	0.01	0.614	0.0902	0	0.01	0.0201	0.0403	0.0907	0.0202	0.01	0.0906	0.0101	0.01	0.0804	0	0.0101	0	0.0101	0	0.0101	0	0	0	0.0304	0.0201	0	0.0101	0	0.0201	0.0101	0.0202	0.0403	0	0.222	0.0202	0.0101	0.111	0.0807	0.0202	0	0.0705	0.0203	0.0505	0.0807	0.0402	0.0201	0.0402	0.0504	0.0201	0.0304	0.0604	0.131	0.0501	0.303	0.0301	0	0.0301	0.0101	0.0101	0.0101	0.01	0.0303	0.03	0.0101	0.0605	0.0401	0	0.01	0	0.0101	0	0	0	0	0.0202	0.0101	0.0101	0.0101	0.0304	0	0	0.0202	0.0101	0.0303	0.141	0.0809	0.0405	0.0704	0.0302	0.0202	1.95	0.0604	0.0202	0.0507	0.0202	0.0407	0.0709	0.0301	2.28	0.0505	0.0707	0.0203	0.00999	0	0	0.0302	0	0.0101	0	0.0303	0	0.0202	0	0.0101	0	0	0	0.3
