Rhizobium	Sphingomonas	Herbaspirillum	Mycobacterium	Rhodanobacter	Microvirga	Nocardia	Methylophilus	Iamia	Reyranella	Afipia	Haloactinopolyspora	Panacagrimonas	Gp6	Inquilinus	Luteolibacter	Atopobium	Chthonomonas/Armatimonadetes_gp3	Oxalicibacterium
Rhizobium	1	0.833333333333333	0.880952380952381	1	0.952380952380953	0.952380952380953	0.904761904761905	0.80952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.80952380952381	0.833333333333333	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.898219696434944	0.790433332862751
Sphingomonas	0.833333333333333	1	0.976190476190476	0.833333333333333	0.880952380952381	0.952380952380953	0.904761904761905	0.857142857142857	0.785714285714286	0.785714285714286	0.928571428571429	0.785714285714286	0.80952380952381	0.833333333333333	0.761904761904762	0.785714285714286	0.738095238095238	0.790433332862751	0.934148484292342
Herbaspirillum	0.880952380952381	0.976190476190476	1	0.880952380952381	0.904761904761905	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.80952380952381	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.833333333333333	0.850314645958414	0.874267171196679
Mycobacterium	1	0.833333333333333	0.880952380952381	1	0.952380952380953	0.952380952380953	0.904761904761905	0.80952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.80952380952381	0.833333333333333	0.880952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.898219696434944	0.790433332862751
Rhodanobacter	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	1	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.738095238095238	0.761904761904762	0.880952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.958101009530607	0.838338383339281
Microvirga	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	1	0.928571428571429	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.898219696434944	0.898219696434944
Nocardia	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	1	0.761904761904762	0.857142857142857	0.880952380952381	0.976190476190476	0.714285714285714	0.666666666666667	0.80952380952381	0.761904761904762	0.833333333333333	0.761904761904762	0.898219696434944	0.898219696434944
Methylophilus	0.80952380952381	0.857142857142857	0.928571428571429	0.80952380952381	0.833333333333333	0.904761904761905	0.761904761904762	1	0.857142857142857	0.690476190476191	0.785714285714286	0.857142857142857	0.904761904761905	0.976190476190476	0.928571428571429	0.928571428571429	0.833333333333333	0.886243433815812	0.790433332862751
Iamia	0.904761904761905	0.785714285714286	0.857142857142857	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.857142857142857	1	0.857142857142857	0.80952380952381	0.714285714285714	0.833333333333333	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.946124746911475	0.718575757147955
Reyranella	0.976190476190476	0.785714285714286	0.80952380952381	0.976190476190476	0.904761904761905	0.904761904761905	0.880952380952381	0.690476190476191	0.857142857142857	1	0.904761904761905	0.761904761904762	0.761904761904762	0.785714285714286	0.833333333333333	0.80952380952381	0.80952380952381	0.814385858101016	0.766480807624486
Afipia	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.785714285714286	0.80952380952381	0.904761904761905	1	0.80952380952381	0.714285714285714	0.833333333333333	0.785714285714286	0.857142857142857	0.714285714285714	0.862290908577547	0.934148484292342
Haloactinopolyspora	0.80952380952381	0.785714285714286	0.80952380952381	0.80952380952381	0.738095238095238	0.857142857142857	0.714285714285714	0.857142857142857	0.714285714285714	0.761904761904762	0.80952380952381	1	0.785714285714286	0.904761904761905	0.880952380952381	0.880952380952381	0.642857142857143	0.754504545005353	0.862290908577547
Panacagrimonas	0.833333333333333	0.80952380952381	0.904761904761905	0.833333333333333	0.761904761904762	0.880952380952381	0.666666666666667	0.904761904761905	0.833333333333333	0.761904761904762	0.714285714285714	0.785714285714286	1	0.880952380952381	0.904761904761905	0.80952380952381	0.880952380952381	0.754504545005353	0.658694444052292
Gp6	0.880952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.928571428571429	0.80952380952381	0.976190476190476	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.880952380952381	1	0.976190476190476	0.976190476190476	0.857142857142857	0.934148484292342	0.814385858101016
Inquilinus	0.904761904761905	0.761904761904762	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.833333333333333	0.785714285714286	0.880952380952381	0.904761904761905	0.976190476190476	1	0.952380952380953	0.904761904761905	0.910195959054077	0.730552019767088
Luteolibacter	0.904761904761905	0.785714285714286	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.880952380952381	0.80952380952381	0.857142857142857	0.880952380952381	0.80952380952381	0.976190476190476	0.952380952380953	1	0.80952380952381	0.958101009530607	0.790433332862751
Atopobium	0.857142857142857	0.738095238095238	0.833333333333333	0.857142857142857	0.857142857142857	0.857142857142857	0.761904761904762	0.833333333333333	0.976190476190476	0.80952380952381	0.714285714285714	0.642857142857143	0.880952380952381	0.857142857142857	0.904761904761905	0.80952380952381	1	0.874267171196679	0.610789393575762
Chthonomonas/Armatimonadetes_gp3	0.898219696434944	0.790433332862751	0.850314645958414	0.898219696434944	0.958101009530607	0.898219696434944	0.898219696434944	0.886243433815812	0.946124746911475	0.814385858101016	0.862290908577547	0.754504545005353	0.754504545005353	0.934148484292342	0.910195959054077	0.958101009530607	0.874267171196679	1	0.771084337349398
Oxalicibacterium	0.790433332862751	0.934148484292342	0.874267171196679	0.790433332862751	0.838338383339281	0.898219696434944	0.898219696434944	0.790433332862751	0.718575757147955	0.766480807624486	0.934148484292342	0.862290908577547	0.658694444052292	0.814385858101016	0.730552019767088	0.790433332862751	0.610789393575762	0.771084337349398	1
