Nocardioides	Bacillus	Phenylobacterium	Sporosarcina	Streptosporangium	Lautropia	Tumebacillus	Cohnella	Rubrobacter	Saccharomonospora	Luteivirga	Armatimonadetes_gp5
Nocardioides	1	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.904761904761905	0.886243433815812
Bacillus	0.904761904761905	1	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.785714285714286	0.880952380952381	0.833333333333333	0.928571428571429	0.826362120720149
Phenylobacterium	0.976190476190476	0.928571428571429	1	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.80952380952381	0.880952380952381	0.928571428571429	0.862290908577547
Sporosarcina	0.928571428571429	0.976190476190476	0.904761904761905	1	0.976190476190476	0.976190476190476	0.904761904761905	0.80952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.850314645958414
Streptosporangium	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	1	0.880952380952381	0.904761904761905	0.857142857142857	0.928571428571429	0.880952380952381	0.850314645958414
Lautropia	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	1	0.880952380952381	0.904761904761905	0.857142857142857	0.928571428571429	0.880952380952381	0.850314645958414
Tumebacillus	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.880952380952381	0.880952380952381	1	0.714285714285714	0.952380952380953	0.690476190476191	0.928571428571429	0.97007727214974
Cohnella	0.928571428571429	0.785714285714286	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.714285714285714	1	0.619047619047619	0.976190476190476	0.738095238095238	0.69462323190969
Rubrobacter	0.833333333333333	0.880952380952381	0.80952380952381	0.904761904761905	0.857142857142857	0.857142857142857	0.952380952380953	0.619047619047619	1	0.642857142857143	0.880952380952381	0.958101009530607
Saccharomonospora	0.904761904761905	0.833333333333333	0.880952380952381	0.857142857142857	0.928571428571429	0.928571428571429	0.690476190476191	0.976190476190476	0.642857142857143	1	0.714285714285714	0.658694444052292
Luteivirga	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.880952380952381	0.928571428571429	0.738095238095238	0.880952380952381	0.714285714285714	1	0.898219696434944
Armatimonadetes_gp5	0.886243433815812	0.826362120720149	0.862290908577547	0.850314645958414	0.850314645958414	0.850314645958414	0.97007727214974	0.69462323190969	0.958101009530607	0.658694444052292	0.898219696434944	1
