Steroidobacter	Galbitalea	Micromonospora	Rudaibacter	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Methylotenera	Aquimonas	Pseudolabrys	Chitinimonas	Variibacter	Thiomonas	Halobacteriovorax	Ardenticatena	Luteivirga	Roseiflexus	Sanguibacter	Sulfurisoma	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.946124746911475	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	1	0.952380952380953	0.952380952380953	0.904761904761905	0.862290908577547	0.922172221673209	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Galbitalea	0.952380952380953	1	0.952380952380953	0.952380952380953	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.952380952380953	1	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.857142857142857	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	0.874267171196679	0.898219696434944	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Micromonospora	0.928571428571429	0.952380952380953	1	1	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.833333333333333	0.80952380952381	0.928571428571429	0.880952380952381	0.857142857142857	0.80952380952381	0.730552019767088	0.922172221673209	0.922172221673209	0.97007727214974	0.778457070243618	0.730552019767088	0.730552019767088	0.730552019767088
Rudaibacter	0.928571428571429	0.952380952380953	1	1	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.833333333333333	0.80952380952381	0.928571428571429	0.880952380952381	0.857142857142857	0.80952380952381	0.730552019767088	0.922172221673209	0.922172221673209	0.97007727214974	0.778457070243618	0.730552019767088	0.730552019767088	0.730552019767088
Chryseolinea	0.952380952380953	1	0.952380952380953	0.952380952380953	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.952380952380953	1	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.857142857142857	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	0.874267171196679	0.898219696434944	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	1	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.922172221673209	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.833333333333333	0.976190476190476	0.880952380952381	0.952380952380953	0.952380952380953	0.833333333333333	0.952380952380953	0.80952380952381	0.898219696434944	0.826362120720149	0.826362120720149	0.898219696434944	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.904761904761905	0.880952380952381	0.785714285714286	0.785714285714286	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.880952380952381	0.80952380952381	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.934148484292342	0.826362120720149	0.826362120720149	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.904761904761905	0.880952380952381	0.785714285714286	0.785714285714286	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.880952380952381	0.80952380952381	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.934148484292342	0.826362120720149	0.826362120720149	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Geobacter	0.952380952380953	0.952380952380953	0.857142857142857	0.857142857142857	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.928571428571429	0.80952380952381	1	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	1	0.904761904761905	0.958101009530607	0.850314645958414	0.850314645958414	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.904761904761905	0.880952380952381	0.785714285714286	0.785714285714286	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.904761904761905	0.946124746911475	0.904761904761905	0.714285714285714	0.976190476190476	0.880952380952381	0.80952380952381	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.934148484292342	0.826362120720149	0.826362120720149	0.730552019767088	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
