Class	BacDMH6301	BacDMH6302	BacDMH6303	BacDMH6304	BacDMH6305	BacDMH6306	BacDMH6307	BacDMH6308	BacDMH6309	BacDMH6310	BacDMH6311	BacDMH6312	BacDMH6313	BacDMH6314	BacDMH6315	BacWMH6301	BacWMH6302	BacWMH6303	BacWMH6304	BacWMH6305	BacWMH6306	BacWMH6307	BacWMH6308	BacWMH6309	BacWMH6310	BacWMH6311	BacWMH6312	BacWMH6313	BacWMH6314	BacWMH6315	BacDMH63ZH01	BacDMH63ZH02	BacDMH63ZH03	BacDMH63ZH04	BacDMH63ZH05	BacDMH63ZH06	BacDMH63ZH07	BacDMH63ZH08	BacDMH63ZH09	BacDMH63ZH10	BacDMH63ZH11	BacDMH63ZH12	BacDMH63ZH13	BacDMH63ZH14	BacDMH63ZH15	BacWMH63ZH01	BacWMH63ZH02	BacWMH63ZH03	BacWMH63ZH04	BacWMH63ZH05	BacWMH63ZH06	BacWMH63ZH07	BacWMH63ZH08	BacWMH63ZH09	BacWMH63ZH10	BacWMH63ZH11	BacWMH63ZH12	BacWMH63ZH13	BacWMH63ZH14	BacWMH63ZH15	BacDWYJ01	BacDWYJ02	BacDWYJ03	BacDWYJ04	BacDWYJ05	BacDWYJ06	BacDWYJ07	BacDWYJ08	BacDWYJ09	BacDWYJ10	BacDWYJ11	BacDWYJ12	BacDWYJ13	BacDWYJ14	BacDWYJ15	BacWWYJ01	BacWWYJ02	BacWWYJ03	BacWWYJ04	BacWWYJ05	BacWWYJ06	BacWWYJ07	BacWWYJ08	BacWWYJ09	BacWWYJ10	BacWWYJ11	BacWWYJ12	BacWWYJ13	BacWWYJ14	BacWWYJ15	Bac2DWYJ01	Bac2DWYJ02	Bac2DWYJ03	Bac2DWYJ04	Bac2DWYJ05	Bac2DWYJ06	Bac2DWYJ07	Bac2DWYJ08	Bac2DWYJ09	Bac2DWYJ10	Bac2DWYJ11	Bac2DWYJ12	Bac2DWYJ13	Bac2DWYJ14	Bac2DWYJ15	Bac2WWYJ01	Bac2WWYJ02	Bac2WWYJ03	Bac2WWYJ04	Bac2WWYJ05	Bac2WWYJ06	Bac2WWYJ07	Bac2WWYJ08	Bac2WWYJ09	Bac2WWYJ10	Bac2WWYJ11	Bac2WWYJ12	Bac2WWYJ13	Bac2WWYJ14	Bac2WWYJ15	Bac2DMH6301	Bac2DMH6302	Bac2DMH6303	Bac2DMH6304	Bac2DMH6305	Bac2DMH6306	Bac2DMH6307	Bac2DMH6308	Bac2DMH6309	Bac2DMH6310	Bac2DMH6311	Bac2DMH6312	Bac2WMH6301	Bac2WMH6302	Bac2WMH6303	Bac2WMH6304	Bac2WMH6305	Bac2WMH6306	Bac2WMH6307	Bac2WMH6308	Bac2WMH6309	Bac2WMH6310	Bac2WMH6311	Bac2WMH6312	Bac2DMH63ZH01	Bac2DMH63ZH02	Bac2DMH63ZH03	Bac2DMH63ZH04	Bac2DMH63ZH05	Bac2DMH63ZH06	Bac2DMH63ZH07	Bac2DMH63ZH08	Bac2DMH63ZH09	Bac2DMH63ZH10	Bac2DMH63ZH11	Bac2DMH63ZH12	Bac2DMH63ZH13	Bac2DMH63ZH14	Bac2DMH63ZH15	Bac2WMH63ZH01	Bac2WMH63ZH02	Bac2WMH63ZH03	Bac2WMH63ZH04	Bac2WMH63ZH05	Bac2WMH63ZH06	Bac2WMH63ZH07	Bac2WMH63ZH08	Bac2WMH63ZH09	Bac2WMH63ZH10	Bac2WMH63ZH11	Bac2WMH63ZH12	Bac2WMH63ZH13	Bac2WMH63ZH14	Bac2WMH63ZH15	BacDBS01	BacDBS02	BacDBS03	BacDBS04	BacDBS05	BacDBS06	BacWBS01	BacWBS02	BacWBS03	BacWBS04	BacWBS05	BacWBS06	Bac2DBS01	Bac2DBS02	Bac2DBS03	Bac2DBS04	Bac2DBS05	Bac2DBS06	Bac2WBS01	Bac2WBS02	Bac2WBS03	Bac2WBS04	Bac2WBS05	Bac2WBS06
|Acidobacteria|Acidobacteria_Gp1|Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.82376264797201e-08	2.51004016064257e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72932596464115e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04367165386171e-06	0	1.73671413685307e-07	0	3.45423143350604e-06	0	2.70407300997127e-06	0	2.61780104712042e-07	2.8587764436821e-07	0	0	0	1.15901715345387e-07	0	0	1.10314396028682e-07	0	0	2.07684319833853e-07	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Holophagales	0	0	0	0	0	0	0	0	0	9.14241327761089e-09	0	0	0	0	0	0	0	0	0	0	0	0	6.89150460922825e-09	0	0	0	0	1.17496231909201e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.35424891984679e-09	0	0	9.5537835033207e-09	1.70046464256426e-08	0	1.25158048200897e-08	2.09132094694627e-08	9.79570066798828e-09	0	0	0	0	2.93004479950597e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65497076023392e-07	2.02183582693085e-06	4.52693526482571e-07	6.94685654741229e-07	4.63320463320463e-07	4.44115470022206e-06	2.52525252525252e-06	5.07013689369613e-06	1.08493490390577e-06	2.48691099476439e-06	2.715837621498e-06	1.90053848590434e-06	0	0	0	0	0	0	0	1.0489877268436e-07	0	0	0	0
|Acidobacteria|Acidobacteria_Gp1|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03317166663035e-08	0	0	0	1.76093801624123e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2952893577349e-08	0	0	2.33285565921861e-08	0	4.34333385011331e-09	0	0	0	0	0	9.82606737060683e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92657667812205e-09	6.43674649221383e-09	9.5537835033207e-09	0	2.20547229641169e-08	0	6.97106982315424e-09	0	3.05077874788474e-08	1.14254288915582e-07	3.4836654584502e-08	2.59757795078166e-08	0	3.37137934929007e-08	0	0	0	0	2.09907310179507e-08	0	0	0	1.43614277327212e-08	3.68389560171415e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29809497034152e-08	2.93801703506677e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17192866151473e-08	0	0	0	0	0	0	0	0	0	1.32481635395701e-08	0	0	0	0	0	0	0	0	0	7.12719298245614e-06	6.46987464617873e-06	3.01795684321714e-06	1.56304272316777e-06	3.86100386100386e-06	5.92153960029608e-06	3.10800310800311e-06	9.46425553489944e-06	2.94482331060136e-06	3.1413612565445e-06	6.28930817610063e-06	6.81026290782388e-06	3.45065562456867e-07	6.2758880381574e-07	2.31803430690774e-07	2.63469898564089e-07	3.15192267283043e-07	4.41257584114727e-07	2.58631837579206e-07	0	1.03842159916926e-07	3.77833753148615e-07	2.44977951984321e-07	1.09158388822181e-07
|Acidobacteria|Acidobacteria_Gp1|Unassigned	4.13880818000131e-07	1.27659187622081e-06	2.45302370558094e-07	1.6641858925984e-07	2.37449642031566e-07	3.50469513477963e-07	1.51592982273606e-07	8.23433982489007e-07	3.59433925056006e-07	5.02832730268599e-07	2.47578144264627e-07	2.28213946516511e-07	2.45377425426306e-07	4.87875830918817e-06	4.07277053414576e-07	5.20340193400168e-07	7.50569075936647e-07	4.54595533317355e-07	3.73127870825318e-07	2.63411098465571e-07	1.6586672581977e-07	6.86765826334081e-07	3.44575230461413e-07	4.73001961156716e-08	3.6255146114219e-07	1.69898825921522e-07	1.45188254641156e-07	6.69728521882444e-07	3.99475296216756e-07	1.66044589180356e-07	1.70309712796299e-07	9.65782752039527e-08	1.59912242717896e-07	1.79042126095572e-07	3.30555336886613e-07	2.59797370751504e-07	3.98415380089443e-07	2.62921272735919e-07	7.24180102678877e-07	1.28494157343096e-07	9.91992329461532e-08	1.23572394642783e-07	1.20267143004684e-07	1.78034764380901e-06	5.8861546645468e-07	1.03967281111109e-06	1.80451086232765e-07	6.39117791256243e-07	5.27246297237584e-07	1.77594789456214e-07	2.85655014914771e-07	5.36556801620279e-07	3.22212498434367e-07	1.99793357105213e-07	1.67872801472502e-07	1.96921880951125e-07	3.09266990114653e-07	1.84230290238543e-07	8.7294781538375e-07	2.1617348215335e-07	5.10887435375358e-07	4.56909920526026e-07	4.07480472076774e-07	2.31680063180401e-07	7.04681268789937e-08	9.98984268734393e-07	2.96726219214331e-07	1.72587871247445e-06	3.25973161639595e-06	1.76466891116648e-06	2.29442979019763e-06	9.95124647980009e-07	1.26624716383028e-06	1.16042117463139e-06	6.66448515148102e-07	5.09609184110654e-07	6.42052710927886e-07	4.37698761470541e-07	9.93593484345352e-07	5.61153332046206e-07	7.57212155101347e-07	7.75979898845564e-07	4.67061678151334e-07	7.15086148763145e-07	1.34234264906929e-06	3.50379819341119e-06	2.15987258423912e-06	8.31224944250133e-07	1.78732732769864e-06	7.24846560097366e-07	1.06244960742487e-06	8.93754088924956e-07	3.13373154312912e-07	1.57214197234917e-06	4.19814620359015e-07	1.32118161086108e-06	1.15291971933322e-06	8.51541236416587e-07	2.01059988258096e-07	6.44681730299977e-07	1.01045894294562e-06	1.28594348852938e-06	1.43972614763271e-06	1.5038241806613e-06	8.45071651171868e-07	3.00961754706248e-06	4.44482027869246e-07	2.42852029954584e-07	9.66074276153267e-07	1.89958549317643e-07	4.60836925941202e-07	1.05198264407474e-06	8.87089144236362e-07	4.76907630522089e-07	4.53943617213584e-07	8.70735146152976e-08	2.96139783873717e-07	6.89105563303764e-07	1.63738159256868e-06	6.87761168909741e-07	2.48659485685912e-06	2.80911640893798e-07	2.56966406055884e-07	3.61828652992097e-07	3.04141195579991e-07	5.03698205413216e-07	1.21525632455072e-06	3.50485641992209e-07	1.46900851753339e-07	2.21311973708699e-07	5.05497052415295e-08	1.36030563248123e-07	5.70120300074621e-08	1.35450072706599e-07	1.20332880768377e-07	6.29766252535699e-07	5.55907297619383e-08	1.38622711254871e-07	6.78914057207868e-08	1.08117013526712e-07	7.47388678999701e-08	2.31879778939235e-07	7.89578903978953e-08	4.84826453758758e-08	3.07212164618639e-07	1.19672297756883e-07	1.33149021799907e-07	1.96642746481148e-07	1.29141403379631e-07	4.25639031031043e-08	1.65246682643928e-07	3.84834416669065e-07	2.67363958160466e-07	2.44626344830979e-07	3.04701451993829e-07	1.88349719579556e-07	7.29442946031863e-08	2.07789109845479e-07	6.8643333836489e-08	2.06219417508751e-07	2.76834869424111e-07	2.76530049130512e-07	7.69498562895097e-07	1.54262618015072e-06	3.17955924949683e-07	6.01663190450145e-07	1.10229135140368e-06	1.80974760078301e-07	1.4231483619969e-07	6.18659501714764e-07	2.97316620868758e-07	1.51327623949786e-06	1.9797784310424e-06	5.69406905766954e-07	0.00011531432748538	0.000249494541043267	6.9714803078316e-05	0.000109586662035429	8.41698841698842e-05	0.000212188502343943	0.000128010878010878	0.000145850937975325	9.76441413515188e-05	7.74869109947644e-05	7.70440251572327e-05	9.10674691162495e-05	1.1157119852772e-05	1.355591816242e-05	1.06629578117756e-05	1.13292056382558e-05	6.19878125656651e-06	1.09211252068395e-05	6.59511185826975e-06	7.23801531522082e-06	9.03426791277259e-06	5.66750629722922e-06	1.27388535031847e-05	1.1461630826329e-05
|Acidobacteria|Acidobacteria_Gp1|Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29843188597623e-08	0	0	4.34333385011331e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85034660499809e-08	0	0	0	0	0	0	0	9.5537835033207e-09	0	0	0	0	0	0	0	0	0	2.93004479950597e-08	0	0	4.2559718520236e-08	0	0	0	0	0	2.66106636380183e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14925365284294e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88913359593909e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09649122807017e-06	4.04367165386171e-07	4.52693526482571e-07	0	6.17760617760618e-07	2.46730816679003e-07	3.88500388500388e-07	8.45022815616022e-07	0	9.16230366492147e-07	1.00057175528874e-06	1.42540386442825e-06	0	0	0	1.31734949282045e-07	1.05064089094348e-07	0	0	1.0489877268436e-07	0	0	0	0
|Acidobacteria|Acidobacteria_Gp10|Acidithiobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.79570066798828e-09	0	0	0	0	0	0	7.86999709203607e-08	2.55358311121416e-07	5.87574664336711e-08	6.15185989180109e-07	6.29721930538523e-08	2.81102470395974e-08	2.80439931729703e-07	1.33053318190092e-07	4.30842831981636e-08	7.36779120342831e-08	2.02091788589124e-07	3.00965497315388e-07	3.08512745921294e-07	1.47433743202088e-07	1.63562255065523e-07	7.27599846542578e-07	5.18562365847453e-07	2.63089699117466e-07	3.73964235930297e-07	3.79917098635286e-07	2.81622565852957e-07	4.20793057629897e-07	9.55326770716082e-07	4.51807228915663e-07	3.56669984953531e-07	4.52782275999548e-08	1.64522102152065e-07	5.05344079756094e-07	1.13357187177832e-06	4.29850730568588e-07	4.52108155792567e-07	3.37093969072558e-08	1.8354743289706e-08	1.87152751547636e-08	3.20148626926307e-08	6.62760796596337e-08	4.58587292283291e-08	0	7.34504258766694e-08	6.91599917839685e-08	1.55537554589322e-08	5.18211669516659e-08	1.42530075018655e-08	3.53348015756346e-08	5.01387003201568e-08	1.06941439109836e-07	3.8485889835188e-08	2.52041293190674e-08	2.26304685735956e-08	6.56424724983611e-08	3.26982547062369e-08	9.27519115756938e-08	9.57065338156307e-09	2.29654635990991e-08	4.80019007216625e-08	4.98634573987014e-08	8.32181386249418e-09	8.4275462777635e-08	6.45707016898153e-09	0	2.47870023965892e-08	9.8446013566505e-08	0	1.88174111408445e-08	7.03157196908837e-08	4.48451713284657e-08	3.64721473015931e-08	3.89604580960274e-08	2.74573335345956e-08	1.2130553971103e-07	6.59130641485978e-08	5.82168524485288e-08	1.85741032422955e-07	1.66770397854132e-07	1.05985308316561e-07	1.39671812068783e-07	8.47916424156681e-08	1.27746889467036e-07	6.09920726570099e-08	1.87472576277201e-07	1.23881925361982e-07	2.44794685801125e-07	1.12062930059004e-07	1.76244994642152e-07	0	0	0	0	0	0	0	0	0	0	0	0	9.20174833218311e-07	1.88276641144722e-06	8.1131200741771e-07	1.58081939138453e-06	1.68102542550956e-06	9.92829564258136e-07	1.16384326910643e-06	1.36368404489667e-06	2.07684319833853e-06	2.14105793450882e-06	1.34737873591377e-06	9.82425499399629e-07
|Acidobacteria|Acidobacteria_Gp10|Chromatiales	0	0	0	0	7.42030131348644e-08	0	0	0	0	0	0	0	0	0	0	2.08136077360067e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40660251281741e-09	0	0	0	0	0	0	0	0	0	0	0	8.91841615840425e-09	0	0	0	0	0	0	1.1664278296093e-08	0	0	0	0	0	0	0	0	1.13530541194524e-08	0	0	0	0	0	0	0	0	0	1.85034660499809e-08	1.34476303781082e-08	0	0	1.30676179440804e-08	0	0	0	0	8.50232321282131e-09	0	0	0	0	0	0	0	0	0	0	3.93499854601804e-08	4.2559718520236e-08	0	6.83539987977899e-08	1.25944386107705e-07	0	9.34799772432343e-08	1.06442654552073e-07	1.43614277327212e-08	1.84194780085708e-08	5.7740511025464e-08	5.47209995118887e-08	5.14187909868824e-08	4.12814480965847e-07	8.17811275327615e-08	6.61454405947798e-08	0	0	3.11636863275247e-08	0	0	5.25991322037372e-08	0	0	0	0	0	0	0	0	0	1.12364656357519e-08	3.6709486579412e-08	1.24768501031758e-08	0	1.32552159319267e-08	2.29293646141646e-08	3.89428491102455e-08	0	0	3.88843886473305e-09	0	7.12650375093277e-09	1.17782671918782e-08	0	1.18823821233151e-08	0	0	5.6576171433989e-09	0	4.67117924374813e-09	0	4.78532669078154e-09	0	0	0	2.49654415874825e-08	0	0	0	8.26233413219639e-09	2.6848912790865e-08	7.86364582824899e-09	1.88174111408445e-08	4.68771464605891e-08	0	0	1.29868193653424e-08	6.8643333836489e-09	0	1.31826128297196e-08	5.82168524485288e-08	0	0	0	1.07439855437526e-08	0	0	0	1.87472576277201e-08	1.23881925361982e-08	0	9.33857750491699e-08	0	0	0	0	0	0	0	0	1.69004563123204e-07	0	1.30890052356021e-07	0	0	1.15021854152289e-07	1.25517760763148e-07	1.15901715345387e-07	0	0	1.10314396028682e-07	0	0	0	1.25944584382872e-07	2.44977951984321e-07	1.09158388822181e-07
|Acidobacteria|Acidobacteria_Gp10|Clostridiales	3.52238994042665e-08	7.50936397776949e-08	7.66569907994043e-08	3.96234736332952e-08	2.96812052539458e-08	3.50469513477963e-08	3.36873293941346e-08	3.82992549994887e-08	2.39622616704004e-08	9.14241327761089e-09	1.54736340165392e-08	8.96554789886293e-08	5.45283167614012e-08	4.64643648494112e-08	2.39574737302692e-08	2.08136077360067e-08	0	0	9.56738130321328e-09	0	0	0	2.06745138276848e-08	0	0	7.72267390552373e-09	2.29244612591299e-08	0	1.1096536006021e-08	5.03165421758655e-09	2.66108926244218e-08	3.21927584013175e-08	2.82198075384522e-08	3.58084252191143e-08	3.67283707651792e-08	3.14905903941217e-08	2.49009612555902e-08	6.85881581050225e-08	1.68413977367181e-08	0	2.97597698838459e-08	2.18068931722558e-08	8.01780953364561e-08	3.81503066530502e-08	0	0	2.57787266046806e-08	8.52157055008323e-09	0	0	0	4.66571131843721e-08	0	1.30300015503399e-08	0	1.15836400559485e-08	1.06643789694708e-08	8.01001261906711e-09	1.85733577741223e-08	0	0	0	0	0	0	0	0	0	0	2.71487524794844e-08	3.70069320999618e-08	0	0	0	0	0	1.58531533562441e-08	6.43674649221383e-09	0	0	0	0	1.39421396463085e-08	0	6.10155749576948e-08	3.80847629718607e-08	0	0	2.93004479950597e-08	0	1.57399941840722e-07	2.1279859260118e-07	5.8757466433671e-08	4.1012399278674e-07	4.19814620359014e-08	1.68661482237585e-07	9.34799772432343e-08	7.9831990914055e-08	5.74457109308848e-08	1.28936346059995e-07	1.4435127756366e-07	1.9152349829161e-07	3.08512745921294e-07	2.35893989123341e-07	1.09041503377015e-07	2.97654482676509e-07	2.96321351912831e-07	2.22614360791702e-07	5.29782667567921e-07	5.18068770866299e-08	2.30418462970601e-07	4.20793057629897e-07	2.0471287943916e-07	1.25502008032128e-07	4.21519073126901e-07	1.74147029230595e-08	1.48069891936858e-07	6.89105563303764e-07	5.66785935889158e-07	2.79402974869583e-07	4.52108155792568e-07	7.86552594502635e-08	0	1.87152751547637e-08	1.60074313463154e-08	3.97656477957802e-08	4.58587292283291e-08	0	0	2.76639967135874e-08	0	6.47764586895824e-09	2.85060150037311e-08	5.88913359593909e-09	1.00277400640314e-08	2.37647642466302e-08	8.5524199633751e-09	1.26020646595337e-08	2.26304685735956e-08	1.15839657350049e-08	9.34235848749625e-09	3.86466298232057e-08	2.39266334539077e-09	1.02068727107107e-08	1.9200760288665e-08	0	8.32181386249418e-09	4.21377313888175e-08	2.58282806759261e-08	0	8.26233413219639e-09	8.949637596955e-09	2.3590937484747e-08	2.82261167112667e-08	3.51578598454419e-08	5.38142055941589e-08	1.82360736507966e-08	2.59736387306848e-08	6.8643333836489e-09	2.42611079422061e-08	0	8.73252786727932e-08	1.06137732813117e-07	1.45924098122366e-07	2.64963270791403e-08	1.18183840981279e-07	4.23958212078341e-08	7.45190188557709e-08	1.0165345442835e-08	3.74945152554402e-08	7.43291552171894e-08	6.67621870366704e-08	1.30740085068838e-07	9.49011509611589e-08	1.82748538011696e-07	0	1.50897842160857e-07	0	0	0	0	0	0	1.30890052356021e-07	0	0	3.45065562456867e-07	0	3.47705146036161e-07	3.95204847846134e-07	5.25320445471738e-07	2.20628792057364e-07	3.87947756368809e-07	2.0979754536872e-07	3.11526479750779e-07	8.81612090680101e-07	4.89955903968643e-07	1.09158388822181e-07
|Acidobacteria|Acidobacteria_Gp10|Desulfuromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.79570066798828e-09	0	0	0	0	0	0	3.93499854601804e-08	2.1279859260118e-07	3.91716442891141e-08	4.78477991584529e-07	1.04953655089754e-07	1.40551235197987e-07	1.55799962072057e-07	1.33053318190092e-07	1.00529994129048e-07	9.20973900428538e-08	1.4435127756366e-07	2.18883998047555e-07	2.57093954934412e-07	1.47433743202088e-07	1.36301879221269e-07	1.6536360148695e-07	4.44482027869245e-07	1.41663684140174e-07	3.11636863275247e-07	1.5542063125989e-07	2.56020514411779e-07	1.31497830509343e-07	3.75306945638461e-07	2.51004016064257e-07	1.62122720433423e-07	2.43805840922834e-08	5.75827357532227e-08	2.29701854434588e-07	5.03809720790363e-07	2.79402974869583e-07	2.26054077896284e-07	1.12364656357519e-08	4.5886858224265e-08	1.24768501031758e-08	1.60074313463154e-08	1.19296943387341e-07	9.17174584566583e-08	2.59618994068303e-08	0	8.29919901407622e-08	7.77687772946609e-09	3.88658752137494e-08	2.85060150037311e-08	2.94456679796955e-08	1.50416100960471e-08	8.31766748632056e-08	3.42096798535004e-08	2.10034410992228e-08	3.96033200037923e-08	1.54452876466732e-08	1.86847169749925e-08	4.63759557878469e-08	1.43559800723446e-08	1.27585908883884e-08	2.88011404329975e-08	3.98907659189611e-08	8.32181386249418e-09	8.4275462777635e-08	1.93712105069446e-08	0	1.65246682643928e-08	2.6848912790865e-08	1.5727291656498e-08	4.70435278521113e-08	8.20350063060309e-08	8.96903426569315e-08	1.82360736507966e-08	7.79209161920547e-08	1.37286667672978e-08	7.27833238266182e-08	1.05460902637756e-07	7.2771065560661e-08	1.59206599219675e-07	4.1692599463533e-08	1.45729798935272e-07	1.07439855437526e-07	9.89235828182795e-08	2.1291148244506e-08	4.06613817713399e-08	9.37362881386007e-08	1.23881925361982e-07	4.45081246911136e-08	3.7354310019668e-08	1.35573072801656e-07	0	0	0	0	0	0	0	0	0	0	0	0	4.60087416609156e-07	1.25517760763148e-07	2.31803430690774e-07	0	3.15192267283043e-07	2.20628792057364e-07	2.58631837579206e-07	1.0489877268436e-07	1.03842159916926e-07	0	3.67466927976482e-07	2.18316777644362e-07
|Acidobacteria|Acidobacteria_Gp10|Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56020514411779e-08	2.62995661018686e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88913359593909e-09	0	0	0	0	0	3.8613219116683e-09	0	7.72932596464115e-09	0	0	0	0	0	1.40459104629392e-08	0	0	0	0	0	0	0	0	0	0	0	0	1.31826128297196e-08	0	0	0	0	0	0	0	0	1.87472576277201e-08	0	2.22540623455568e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30043708304578e-07	7.53106564578888e-07	0	5.26939797128178e-07	3.15192267283043e-07	2.20628792057364e-07	0	0	1.03842159916926e-07	1.25944584382872e-07	2.44977951984321e-07	1.09158388822181e-07
