Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mycobacterium	Caulobacter	Microbacterium	g__Ophiosphaerella	Steroidobacter	Sphingopyxis	Agromyces	g__Gibberella	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	g__Chrysosporium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	g__Exophiala	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	g__Cyphellophora	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	Kinneretia	g__Pseudogymnoascus	Hyphomicrobium	g__Phaeoacremonium	Iamia	Pseudorhodoferax	Dissulfuribacter	Acholeplasma	Nocardia	Methylophilus	Gemmatimonas	Reyranella	Actinokineospora	Afipia	Methylotenera	Rhizomicrobium	Rhizocola	Sphingobacterium	Sporosarcina	Niastella	Nitrospira	Nonomuraea	g__Didymella	Rhodoligotrophos	Pseudolabrys	Ochrobactrum	Haloactinopolyspora	Panacagrimonas	Gp6	Catellatospora	g__Claussenomyces	Sulfuriferula	Povalibacter	Pedomicrobium	Variibacter	Inquilinus	Halobacteriovorax	Luteolibacter	Gp3	g__Trichoderma	Pedobacter	Chelativorans	Cohnella	Methylovirgula	Starkeya	Nakamurella	Thermoleophilum	Chelatococcus	Oxalicibacterium	Ammoniphilus	g__Ustilago
Promicromonospora	0	0.00289713230060788	3.10669011206555e-05	0.00017172120944226	0.00949904174056454	0.0061694292040827	4.04259444016751e-05	0.000347779184025321	0.00520610778419288	0.00239915696331727	0.00880123407167532	0.00335053436292838	0.00367882558066406	0.0013141714068705	0.0168133184087857	0.00117253728017774	0.00985384697098016	0.00174513797782845	8.97478268573934e-05	0.0244648427497504	0.0123424453230094	0.00251093273377094	0.00858770210049203	0.00985384697098016	0.00667007118738677	0.00589947917816691	0.00037452115514758	0.0251690854378627	0.00117253728017774	0.000129956065644528	0.00382907231003841	0.00216828711429609	0.00785120180703154	0.00815528116372047	0.00724983323021421	0.0128003496676357	0.0173457728375044	0.000204713377952181	0.0061694292040827	0.00262951141274441	0.00815528116372047	0.00985384697098016	0.0196774469308977	0.000660611392263069	0.030763744437831	0.00216828711429609	6.39025448309949e-05	0.00251093273377094	0.000347779184025321	0.000678579180911065	0.0325154764454017	0.0013141714068705	0.00139912477464872	0.0304096456676437	3.10669011206555e-05	0.0237648001622949	0.000347779184025321	0.00802448721233879	0.00199173301627724	0.000156769178068079	0.00438826312027971	5.69709396671992e-05	0.0013141714068705	0.00156138816996482	0.0334214866260904	0.000580187228758013	0.000633495370387909	0.00291141138456641	0.00184888810855302	0.00565606878059174	0.00239915696331727	0.00700191174589832	0.0196774469308977	0.00541924856404425	0.00195365133651856	0.0183516697654218	0.000535710019872797	6.39025448309949e-05	0.00289713230060788	0.00104083834621246	0.00106112024809513	0.000193785972179277	0.000535710019872797	0.00124310931168237	0.00382907231003841	0.00171356756624733	0.0049797309247699	0.00251093273377094	0.0118497112152757	0.0012105076971649	0.000177545486056652	0.00174513797782845	0.00339392119832944	0.0134145010745597	0.00148502748267143	0.0129705533480557	0.00514583346116183	0.00541924856404425	0.120383339200442	0.0148193647583263	0.0054040851676951
Flavobacterium	0.00289713230060788	0	0.000319897157499864	0.0237648001622949	0.000221672610367529	0.00124310931168237	0.00124310931168237	0.000870583719852118	6.68810538015835e-06	0.0106701597849081	0.00156138816996482	0.157006252196185	0.000761820738647834	0.0926696370715018	0.2181878089859	0.00985384697098016	0.000129956065644528	0.0584783609433618	0.0267067335111415	0.00117253728017774	0.149087654145097	0.00438826312027971	0.365938067674208	0.00156138816996482	0.0184985518802278	0.00111040401386504	0.000618785006736784	0.238904424520427	0.0244648427497504	0.0244648427497504	0.149087654145097	0.0184985518802278	0.0151600926109995	0.104253063243029	0.108572903985957	0.0209433223795031	0.000435078716498605	0.00367882558066406	0.157006252196185	0.0196774469308977	0.000870583719852118	0.0137162459646182	0.0733703557921478	0.0457702103836947	0.422029268026907	0.0128003496676357	0.00949904174056454	1.76396150352905e-05	0.00949904174056454	0.0138770148089282	0.000500366108482196	0.00985384697098016	0.00165384375944881	0.19198299030835	0.00104083834621246	0.0132543576489425	0.0196774469308977	0.0333984441834028	0.0531511465576164	0.00318615599050587	0.00755449817065484	0.00184888810855302	0.00262951141274441	0.00262951141274441	0.0146358741532333	0.0435244491824382	0.0084469620526587	0.0985006770551291	0.0435244491824382	0.000264609329083089	0.0141769013084548	0.263070048685542	0.000618785006736784	0.00124310931168237	0.00382907231003841	0.0879680265356231	0.0365884182378881	0.00251093273377094	0.00111040401386504	0.0334214866260904	0.00667007118738677	0.0084469620526587	0.00748687032300665	0.0392147767492437	0.00318615599050587	0.00248008081165155	0.0049797309247699	0.0110474328433542	0.0407927036113839	0.00672204511759376	0.00165384375944881	0.00457949951254156	0.0143388914003456	0.0729468286128881	0.0294982151446976	0.0270395209044422	0.00367949294326349	0.0082039525795176	0.0519448790519983	0.0274831365547108	0.0592022678786495
Rhizobium	3.10669011206555e-05	0.000319897157499864	0	0.00111040401386504	0.00174513797782845	0.000204713377952181	1.71655752145734e-06	7.465160658649e-06	0.000982200498394705	0.000221672610367529	0.00216828711429609	0.0173457728375044	0.00589947917816691	0.0184985518802278	0.0749934658881162	0.00117253728017774	0.00139912477464872	0.0049797309247699	0.000347779184025321	0.00541924856404425	0.0128003496676357	0.00667007118738677	0.060465543214074	0.00565606878059174	0.020292529477274	0.000535710019872797	3.5786027973048e-05	0.0402520545011082	0.00239915696331727	0.00216828711429609	0.0316170693100201	0.0027509990979022	0.0173457728375044	0.00478248547614094	0.00949904174056454	0.028282654750661	0.00985384697098016	5.51052037556601e-06	0.0597976715819041	0.0118962920175195	0.00318615599050587	0.0209433223795031	0.00694313217480643	0.000660611392263069	0.131370902583534	0.00111040401386504	0.000221672610367529	0.000290773277123092	0.000347779184025321	0.000418342711042847	0.00367882558066406	0.00117253728017774	0.0013141714068705	0.0698081024540527	4.12180451728879e-06	0.00667007118738677	0.00667007118738677	0.00385521790773612	0.00445040835803033	2.49509763311339e-05	0.0114681925285307	3.5786027973048e-05	0.00985384697098016	8.97478268573934e-05	0.0190926265934916	0.00165384375944881	0.000945078955586832	0.0049797309247699	0.0132543576489425	0.00262951141274441	0.0156953846781498	0.0553430640214907	0.00184888810855302	0.00694313217480643	0.00318615599050587	0.00642188435491219	0.00399961041098405	7.24149009623784e-05	0.000580187228758013	0.00667007118738677	0.00148502748267143	0.00565358425461202	0.0005563638148802	0.00457949951254156	0.00478248547614094	0.000580187228758013	0.00117253728017774	0.00216828711429609	0.0553430640214907	0.00184888810855302	0.000781106418901833	0.00303805473225217	0.00625763149829492	0.0102003477886598	0.00216828711429609	0.0294534344954915	0.016458158113994	0.00113017343533255	0.0525377333482483	0.0282860805649954	0.0592022678786495
Phyllobacterium	0.00017172120944226	0.0237648001622949	0.00111040401386504	0	0.0749934658881162	0.0137162459646182	0.0027509990979022	0.00589947917816691	0.0334214866260904	0.000870583719852118	0.0102532049946585	0.0244648427497504	0.020292529477274	0.00251093273377094	0.0733703557921478	0.00589947917816691	0.0362513285769308	0.0141769013084548	0.00195365133651856	0.0888495489188306	0.0156953846781498	0.0156953846781498	0.0633935178149527	0.0216174646625424	0.0352473556462596	0.00289713230060788	0.00785120180703154	0.2181878089859	0.00418685670911299	0.000618785006736784	0.0141769013084548	0.0106701597849081	0.0230431402423762	0.0110474328433542	0.00457949951254156	0.064145616503525	0.0946162743459594	0.00382907231003841	0.0670951932047528	0.00949904174056454	0.0237648001622949	0.0412702556666904	0.0749934658881162	0.00541924856404425	0.104253063243029	0.0137162459646182	0.000580187228758013	0.0184985518802278	0.0137162459646182	0.00119835634976261	0.173772621711577	0.00667007118738677	0.00847229744709026	0.122681869587104	0.00335053436292838	0.14110858525264	0.00148502748267143	0.00589947917816691	0.0082584099361117	0.000925992216032467	0.0209433223795031	0.00104083834621246	0.00694313217480643	0.0027509990979022	0.0325154764454017	0.00111040401386504	0.00210302961713164	0.00354745822708884	0.000982200498394705	0.0267067335111415	0.00880123407167532	0.0527309031724137	0.117422438343013	0.046921650633767	0.0102532049946585	0.0294982151446976	0.0013141714068705	0.00124310931168237	0.0114681925285307	0.00289713230060788	0.0134155599750566	0.00294527492802776	0.0022720341333066	0.0110474328433542	0.0190926265934916	0.00875572030473679	0.00565606878059174	0.00550507213337736	0.0367128545779391	0.0103724442891448	0.00340372122143216	0.0106701597849081	0.00597795114530408	0.0251690854378627	0.00565606878059174	0.0741343813705681	0.0187107590366353	0.0166057773225973	0.534170156619828	0.0123998696502605	0.0252079556686
Lentzea	0.00949904174056454	0.000221672610367529	0.00174513797782845	0.0749934658881162	0	0.00174513797782845	0.00520610778419288	0.00335053436292838	0.0013141714068705	0.0362513285769308	0.0686311936642255	0.192200973847654	0.0362513285769308	0.303017508253253	0.375956000910955	0.0853037902367692	0.0251690854378627	0.0334214866260904	0.064145616503525	0.0162476596606231	0.117422438343013	0.0571119209628237	0.402481884348504	0.0801416082243079	0.146386678370548	0.000982200498394705	0.0141769013084548	0.100402036753142	0.162551016303804	0.131370902583534	0.0888495489188306	0.143688857854164	0.168036140770807	0.119753806704913	0.394314783964136	0.162551016303804	0.0132543576489425	0.0168133184087857	0.211435522978318	0.198580560772609	0.0146358741532333	0.176704800727436	0.0141769013084548	0.0853037902367692	0.303017508253253	0.115204901928527	0.0424297604779603	0.00755449817065484	0.046921650633767	0.121920719701484	0.00724983323021421	0.0835592218012768	0.0571119209628237	0.305382601413001	0.00438826312027971	0.00318615599050587	0.136077614081377	0.0343381419966138	0.134856301278527	0.0106701597849081	0.128994395105654	0.0343381419966138	0.0519448790519983	0.0402520545011082	0.192200973847654	0.143688857854164	0.132393752797959	0.0790484749613984	0.242313309795569	0.00785120180703154	0.138591659817987	0.211435522978318	0.0049797309247699	0.0290923170036378	0.0853037902367692	0.118047096299732	0.0707467386658309	0.0151600926109995	0.0106701597849081	0.143688857854164	0.0439522339900194	0.053744779445213	0.0507055194739297	0.0733703557921478	0.124320398548663	0.0348084804234947	0.100402036753142	0.0324788294112841	0.36606156608585	0.0151206236549054	0.018149812109298	0.115204901928527	0.0564617597134206	0.181081861843822	0.0427534288701953	0.109783828996131	0.109201861900958	0.136077614081377	0.0195321465350318	0.295715039844784	0.239697650005792
Pseudoxanthomonas	0.0061694292040827	0.00124310931168237	0.000204713377952181	0.0137162459646182	0.00174513797782845	0	0.00117253728017774	0.00303805473225217	0.00847229744709026	0.000709570694760257	0.0156953846781498	0.146386678370548	0.0481055646525513	0.170771975680164	0.380390834021321	0.0274831365547108	0.00589947917816691	0.028282654750661	0.046921650633767	0.0223365424504938	0.0334214866260904	0.0853037902367692	0.27066686479981	0.0237648001622949	0.14110858525264	4.5381081886602e-05	0.00124310931168237	0.0801416082243079	0.0110474328433542	0.0749934658881162	0.154382537180264	0.0749934658881162	0.115204901928527	0.0244648427497504	0.0801416082243079	0.146386678370548	0.0506581112660738	0.000347779184025321	0.353998732083703	0.108572903985957	0.0267067335111415	0.151702066178414	0.0162476596606231	0.020292529477274	0.295155138486117	0.0209433223795031	0.0106701597849081	0.00303805473225217	0.0190926265934916	0.00294527492802776	0.00667007118738677	0.00755449817065484	0.0110474328433542	0.260036708153366	0.00251093273377094	0.0123424453230094	0.0571119209628237	0.0721632509142714	0.0505728999765119	0.00195365133651856	0.064145616503525	0.00195365133651856	0.0801416082243079	0.000618785006736784	0.0259428445729783	0.0290923170036378	0.0290880891568121	0.00727290535321433	0.173772621711577	0.00104083834621246	0.121961149938371	0.326807770229118	0.0128003496676357	0.0334214866260904	0.0267067335111415	0.0538773020653154	0.0286274664348953	0.00418685670911299	0.00667007118738677	0.0733703557921478	0.0132416189419785	0.0468530415333951	0.0184800946675902	0.0230431402423762	0.0544980759584066	0.00945564437846442	0.0128003496676357	0.0396351015172708	0.179502782202696	0.0688666491913993	0.0259396402547305	0.0299448066900548	0.0429329491080049	0.020292529477274	0.055210815741478	0.178623388876807	0.0867188137897033	0.00695613787633472	0.0538773020653154	0.0829415878022409	0.228143363985846
Sphingomonas	4.04259444016751e-05	0.00124310931168237	1.71655752145734e-06	0.0027509990979022	0.00520610778419288	0.00117253728017774	0	2.78963481476785e-05	0.00205764520921946	0.00104083834621246	0.00303805473225217	0.00318615599050587	0.00541924856404425	0.00815528116372047	0.0316170693100201	0.00148502748267143	0.00318615599050587	0.000870583719852118	0.000221672610367529	0.00520610778419288	0.00589947917816691	0.0022720341333066	0.0366371642738045	0.00382907231003841	0.00880123407167532	0.00318615599050587	2.78963481476785e-05	0.0184985518802278	0.00195365133651856	0.00117253728017774	0.0184985518802278	0.00104083834621246	0.00847229744709026	0.00478248547614094	0.00565606878059174	0.0151600926109995	0.00694313217480643	1.06449290200983e-05	0.0251690854378627	0.00541924856404425	0.00165384375944881	0.00949904174056454	0.00335053436292838	8.97478268573934e-05	0.0670951932047528	0.000535710019872797	8.97478268573934e-05	0.000709570694760257	0.000406947220049863	0.000435078716498605	0.00541924856404425	0.000290773277123092	0.000660611392263069	0.0125319023551881	4.12180451728879e-06	0.00382907231003841	0.00400577344799628	0.00335053436292838	0.00100133116590656	1.30032415241449e-05	0.00541924856404425	9.95227980548239e-05	0.00847229744709026	0.000142692908583169	0.00755449817065484	0.000618785006736784	0.000418342711042847	0.00316006743906501	0.00785120180703154	0.00589947917816691	0.00694313217480643	0.0278275907465553	0.0049797309247699	0.00303805473225217	0.00262951141274441	0.00354745822708884	0.0084469620526587	3.10669011206555e-05	0.000406947220049863	0.00262951141274441	0.000945078955586832	0.00505304025866932	0.000210988615276312	0.000761820738647834	0.00251093273377094	0.000347779184025321	0.00111040401386504	0.0022062764007421	0.0488744347961554	0.00139912477464872	0.000552012908173346	0.00382907231003841	0.00219957217332329	0.00367949294326349	0.00457949951254156	0.00962326399157993	0.0205639799453602	0.000937068251795648	0.0198216867973879	0.0466307645291042	0.0480713472994664
Chryseobacterium	0.000347779184025321	0.000870583719852118	7.465160658649e-06	0.00589947917816691	0.00335053436292838	0.00303805473225217	2.78963481476785e-05	0	0.00251093273377094	0.00565606878059174	0.00755449817065484	0.00541924856404425	0.0184985518802278	0.0237648001622949	0.0392147767492437	0.00589947917816691	0.00438826312027971	0.00205764520921946	0.000347779184025321	0.00785120180703154	0.00303805473225217	0.0209433223795031	0.0417612336089344	0.020292529477274	0.0656147109231413	0.00382907231003841	8.97478268573934e-05	0.0237648001622949	0.0259428445729783	0.00914668367365871	0.017935659434938	0.00457949951254156	0.0597976715819041	0.00205764520921946	0.0141769013084548	0.0888495489188306	0.0146358741532333	5.69709396671992e-05	0.100402036753142	0.0290923170036378	0.0132543576489425	0.0481055646525513	0.00205764520921946	0.000435078716498605	0.143688857854164	0.00785120180703154	0.000156769178068079	0.000535710019872797	0.000204713377952181	0.00280674668127847	0.00694313217480643	0.00239915696331727	0.00541924856404425	0.0438580953384105	4.04259444016751e-05	0.0027509990979022	0.030763744437831	0.00220505300442139	0.000709570694760257	0.000465645609735888	0.0446130168173068	0.00148502748267143	0.0244648427497504	0.00205764520921946	0.0372489796300892	0.0106701597849081	0.00303805473225217	0.00565606878059174	0.0334214866260904	0.0156953846781498	0.0481055646525513	0.0267067335111415	0.00148502748267143	0.0237648001622949	0.0196774469308977	0.00260069950210718	0.0233347382370754	0.00104083834621246	0.0049797309247699	0.0334214866260904	0.00626409926662874	0.0153567770889571	0.00414104632001341	0.00205764520921946	0.00880123407167532	0.00402393331249457	0.00847229744709026	0.0084469620526587	0.0822682448361135	0.002020654246175	0.00104083834621246	0.0118962920175195	0.00650419826762727	0.0299448066900548	0.00853880277860955	0.0693780585852597	0.030763744437831	0.00746476712375758	0.0316170693100201	0.0706431347876749	0.0362570931043269
Massilia	0.00520610778419288	6.68810538015835e-06	0.000982200498394705	0.0334214866260904	0.0013141714068705	0.00847229744709026	0.00205764520921946	0.00251093273377094	0	0.0259428445729783	0.000264609329083089	0.159869247865604	7.8762015460858e-05	0.143688857854164	0.311237511334721	0.00914668367365871	5.69709396671992e-05	0.0983868596707905	0.0196774469308977	0.00318615599050587	0.315170353874775	0.00174513797782845	0.402481884348504	0.000535710019872797	0.00785120180703154	0.0110474328433542	0.00174513797782845	0.371506024670446	0.0381923031863887	0.0128003496676357	0.268061326545817	0.0123424453230094	0.00589947917816691	0.260487923876145	0.108572903985957	0.0123424453230094	0.000129956065644528	0.0137162459646182	0.126520076739372	0.0110474328433542	4.5381081886602e-05	0.00520610778419288	0.136077614081377	0.0670951932047528	0.625774420628791	0.00642188435491219	0.0274831365547108	2.78963481476785e-05	0.0196774469308977	0.0167901634177636	0.000108929785270815	0.0259428445729783	0.00418685670911299	0.195300326656492	0.000761820738647834	0.0362513285769308	0.0259428445729783	0.0520701363881049	0.0825982254500536	0.00541924856404425	0.00642188435491219	0.00289713230060788	0.00117253728017774	0.00205764520921946	0.00847229744709026	0.0381923031863887	0.00677143960331921	0.277289417126562	0.017935659434938	0.0022720341333066	0.00880123407167532	0.244470616106043	0.000187874169920726	0.000761820738647834	0.00438826312027971	0.055210815741478	0.0817810905671873	0.00815528116372047	6.39025448309949e-05	0.030763744437831	0.00244154913414182	0.0175477575577849	0.00420945126497755	0.0907693179128723	0.00367882558066406	0.000925992216032467	0.00382907231003841	0.00174513797782845	0.0407927036113839	0.00235119385784364	0.000592236598571304	0.00949904174056454	0.0226358855729247	0.0566924380692618	0.0180140626822426	0.0143388914003456	0.00367949294326349	0.0128003496676357	0.0738537245047172	0.029136536736537	0.151909314698811
Herbaspirillum	0.00239915696331727	0.0106701597849081	0.000221672610367529	0.000870583719852118	0.0362513285769308	0.000709570694760257	0.00104083834621246	0.00565606878059174	0.0259428445729783	0	0.00367882558066406	0.121961149938371	0.0259428445729783	0.0156953846781498	0.28353627321649	0.00195365133651856	0.00815528116372047	0.0766514660104878	0.00400577344799628	0.00565606878059174	0.0412702556666904	0.0162476596606231	0.227108810255843	0.00815528116372047	0.0184985518802278	0.000925992216032467	0.00124310931168237	0.275546065566259	0.000290773277123092	0.00303805473225217	0.0686311936642255	0.00724983323021421	0.0132543576489425	0.00541924856404425	0.0141769013084548	0.0244648427497504	0.0372489796300892	0.000465645609735888	0.0835592218012768	0.0137162459646182	0.0128003496676357	0.0223365424504938	0.0392147767492437	0.00251093273377094	0.20823621096236	0.00205764520921946	0.00216828711429609	0.00724983323021421	0.0173457728375044	0.000445182293962137	0.0352473556462596	0.00541924856404425	0.00124310931168237	0.136077614081377	0.00195365133651856	0.0835592218012768	0.0049797309247699	0.0135406798300156	0.056346862274611	9.95227980548239e-05	0.00880123407167532	0.000264609329083089	0.028282654750661	0.000290773277123092	0.0362513285769308	0.000319897157499864	0.0022062764007421	0.00657473659707573	0.00985384697098016	0.00335053436292838	0.0190926265934916	0.248126835492411	0.0493805607467188	0.0151600926109995	0.00174513797782845	0.0738537245047172	0.00151603899532727	0.000406947220049863	0.00457949951254156	0.00478248547614094	0.00589947917816691	0.014627927900464	0.00153222011593187	0.0424297604779603	0.00815528116372047	0.00314172237525604	0.000264609329083089	0.0148193647583263	0.0681703139915218	0.0520193590692928	0.0193104582208691	0.00367882558066406	0.0474750028461105	0.00792320980549052	0.0110474328433542	0.0338150028966463	0.0501273560127181	0.00061930366779613	0.303141630379011	0.0267067335111415	0.140684223594704
