Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	g__Acremonium	Mycobacterium	Microbacterium	g__Ophiosphaerella	g__Gibberella	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	g__Pseudogymnoascus	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	g__Didymella	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus
Promicromonospora	0	0.00289713230060788	3.10669011206555e-05	4.04259444016751e-05	0.000347779184025321	0.00335053436292838	0.00117253728017774	0.00174513797782845	8.97478268573934e-05	0.00858770210049203	0.00037452115514758	0.0251690854378627	0.00117253728017774	0.000129956065644528	0.00216828711429609	0.00815528116372047	0.000204713377952181	0.000660611392263069	0.00216828711429609	6.39025448309949e-05	0.00251093273377094	0.000347779184025321	0.000678579180911065	0.0013141714068705	0.00139912477464872	3.10669011206555e-05	0.0237648001622949	0.000347779184025321	0.00199173301627724	0.000156769178068079	5.69709396671992e-05	0.00156138816996482	0.000633495370387909	0.00700191174589832	0.0196774469308977	0.000535710019872797	6.39025448309949e-05	0.000535710019872797	0.00124310931168237	0.00382907231003841	0.000177545486056652	0.00174513797782845	0.00541924856404425
Flavobacterium	0.00289713230060788	0	0.000319897157499864	0.00124310931168237	0.000870583719852118	0.157006252196185	0.00985384697098016	0.0584783609433618	0.0267067335111415	0.365938067674208	0.000618785006736784	0.238904424520427	0.0244648427497504	0.0244648427497504	0.0184985518802278	0.104253063243029	0.00367882558066406	0.0457702103836947	0.0128003496676357	0.00949904174056454	1.76396150352905e-05	0.00949904174056454	0.0138770148089282	0.00985384697098016	0.00165384375944881	0.00104083834621246	0.0132543576489425	0.0196774469308977	0.0531511465576164	0.00318615599050587	0.00184888810855302	0.00262951141274441	0.0084469620526587	0.263070048685542	0.000618785006736784	0.0365884182378881	0.00251093273377094	0.00748687032300665	0.0392147767492437	0.00318615599050587	0.00165384375944881	0.00457949951254156	0.0082039525795176
Rhizobium	3.10669011206555e-05	0.000319897157499864	0	1.71655752145734e-06	7.465160658649e-06	0.0173457728375044	0.00117253728017774	0.0049797309247699	0.000347779184025321	0.060465543214074	3.5786027973048e-05	0.0402520545011082	0.00239915696331727	0.00216828711429609	0.0027509990979022	0.00478248547614094	5.51052037556601e-06	0.000660611392263069	0.00111040401386504	0.000221672610367529	0.000290773277123092	0.000347779184025321	0.000418342711042847	0.00117253728017774	0.0013141714068705	4.12180451728879e-06	0.00667007118738677	0.00667007118738677	0.00445040835803033	2.49509763311339e-05	3.5786027973048e-05	8.97478268573934e-05	0.000945078955586832	0.0553430640214907	0.00184888810855302	0.00399961041098405	7.24149009623784e-05	0.0005563638148802	0.00457949951254156	0.00478248547614094	0.000781106418901833	0.00303805473225217	0.00113017343533255
Sphingomonas	4.04259444016751e-05	0.00124310931168237	1.71655752145734e-06	0	2.78963481476785e-05	0.00318615599050587	0.00148502748267143	0.000870583719852118	0.000221672610367529	0.0366371642738045	2.78963481476785e-05	0.0184985518802278	0.00195365133651856	0.00117253728017774	0.00104083834621246	0.00478248547614094	1.06449290200983e-05	8.97478268573934e-05	0.000535710019872797	8.97478268573934e-05	0.000709570694760257	0.000406947220049863	0.000435078716498605	0.000290773277123092	0.000660611392263069	4.12180451728879e-06	0.00382907231003841	0.00400577344799628	0.00100133116590656	1.30032415241449e-05	9.95227980548239e-05	0.000142692908583169	0.000418342711042847	0.0278275907465553	0.0049797309247699	0.0084469620526587	3.10669011206555e-05	0.000210988615276312	0.000761820738647834	0.00251093273377094	0.000552012908173346	0.00382907231003841	0.000937068251795648
Chryseobacterium	0.000347779184025321	0.000870583719852118	7.465160658649e-06	2.78963481476785e-05	0	0.00541924856404425	0.00589947917816691	0.00205764520921946	0.000347779184025321	0.0417612336089344	8.97478268573934e-05	0.0237648001622949	0.0259428445729783	0.00914668367365871	0.00457949951254156	0.00205764520921946	5.69709396671992e-05	0.000435078716498605	0.00785120180703154	0.000156769178068079	0.000535710019872797	0.000204713377952181	0.00280674668127847	0.00239915696331727	0.00541924856404425	4.04259444016751e-05	0.0027509990979022	0.030763744437831	0.000709570694760257	0.000465645609735888	0.00148502748267143	0.00205764520921946	0.00303805473225217	0.0267067335111415	0.00148502748267143	0.0233347382370754	0.00104083834621246	0.00414104632001341	0.00205764520921946	0.00880123407167532	0.00104083834621246	0.0118962920175195	0.00746476712375758
g__Acremonium	0.00335053436292838	0.157006252196185	0.0173457728375044	0.00318615599050587	0.00541924856404425	0	0.0818693873366588	0.000580187228758013	0.00156138816996482	0.00198237470763996	0.00880123407167532	0.00478248547614094	0.0718086547910918	0.0123424453230094	0.00914668367365871	0.0132543576489425	0.00785120180703154	0.00156138816996482	0.0457702103836947	0.00335053436292838	0.0870588590957592	0.0022720341333066	0.0114414333295128	0.0110474328433542	0.0372489796300892	0.00914668367365871	0.0151600926109995	0.0216174646625424	4.72444286241595e-05	0.0223365424504938	0.0343381419966138	0.0718086547910918	0.0085971076695937	3.20582901326938e-05	0.14110858525264	0.0756780349668657	0.0168133184087857	0.0184800946675902	0.000118231333908105	0.0519448790519983	0.0193104582208691	0.0627382140675164	0.0730980166204943
Mycobacterium	0.00117253728017774	0.00985384697098016	0.00117253728017774	0.00148502748267143	0.00589947917816691	0.0818693873366588	0	0.0557780040636246	0.00251093273377094	0.0917896413707625	0.0022720341333066	0.268061326545817	0.000187874169920726	0.00037452115514758	0.000239953979766976	0.0424297604779603	0.00335053436292838	0.0022720341333066	1.76396150352905e-05	0.00195365133651856	0.000870583719852118	0.0061694292040827	0.00117253728017774	0.000870583719852118	0.00148502748267143	0.000500366108482196	0.358222069055899	0.00303805473225217	0.0173258016783089	0.00104083834621246	2.78963481476785e-05	0.000870583719852118	0.000813990936641598	0.119446962194256	0.0519448790519983	0.00159450292481118	0.000156769178068079	0.00524243118990335	0.0244648427497504	0.00037452115514758	0.000870583719852118	0.000925992216032467	0.000406947220049863
Microbacterium	0.00174513797782845	0.0584783609433618	0.0049797309247699	0.000870583719852118	0.00205764520921946	0.000580187228758013	0.0557780040636246	0	0.00949904174056454	0.00735408199370824	0.0162476596606231	0.000761820738647834	0.0784113394725802	0.0381923031863887	0.0571119209628237	0.00565606878059174	0.00382907231003841	0.00111040401386504	0.064145616503525	0.000813990936641598	0.064145616503525	0.00694313217480643	0.0319563765815352	0.00478248547614094	0.0749934658881162	0.00382907231003841	0.00949904174056454	0.0627382140675164	0.000129956065644528	0.00724983323021421	0.0259428445729783	0.0343381419966138	0.0396351015172708	0.00996462950473477	0.138591659817987	0.053744779445213	0.00541924856404425	0.0286567090284918	9.95227980548239e-05	0.110784629139701	0.010397009435638	0.154382537180264	0.0985006770551291
g__Ophiosphaerella	8.97478268573934e-05	0.0267067335111415	0.000347779184025321	0.000221672610367529	0.000347779184025321	0.00156138816996482	0.00251093273377094	0.00949904174056454	0	0.00703289597617168	0.000435078716498605	0.0506581112660738	0.00457949951254156	5.69709396671992e-05	0.000813990936641598	0.00457949951254156	0.000660611392263069	6.39025448309949e-05	0.00262951141274441	0.000319897157499864	0.00985384697098016	0.000813990936641598	0.000945078955586832	0.00815528116372047	0.00262951141274441	8.97478268573934e-05	0.0352473556462596	0.0022720341333066	0.00318615599050587	0.000435078716498605	0.00104083834621246	0.00418685670911299	0.000386263539609959	0.00414104632001341	0.0196774469308977	0.0072244762663	0.00111040401386504	0.000465645609735888	0.00724983323021421	0.00418685670911299	0.00100133116590656	0.0035175827756176	0.00727290535321433
g__Gibberella	0.00858770210049203	0.365938067674208	0.060465543214074	0.0366371642738045	0.0417612336089344	0.00198237470763996	0.0917896413707625	0.00735408199370824	0.00703289597617168	8.03458066078199e-119	0.0512378454621734	0.00158597454687852	0.0551582386716276	0.0247609633874981	0.0693780585852597	0.0254769060304482	0.0193104582208691	0.00962326399157993	0.079272876417294	0.0120495234246641	0.230416135874505	0.0038720053439572	0.0336810146594871	0.0347145272909794	0.116470525038594	0.0407105271370567	0.130379899322658	0.0329236781287074	0.00535873613614497	0.137558391569979	0.0463025132486289	0.14807380430839	0.0375289128449492	0.00147306690775039	0.203932318820263	0.0306693232950721	0.0693780585852597	0.0703608799059783	0.0103894316909803	0.142777674908855	0.0860732961652768	0.079272876417294	0.114924158271826
