Promicromonospora	Flavobacterium	Rhizobium	Phyllobacterium	Lentzea	Pseudoxanthomonas	Sphingomonas	Chryseobacterium	Massilia	Herbaspirillum	Devosia	g__Acremonium	Kribbella	g__Lachnella	g__Scytalidium	Mycobacterium	Caulobacter	Microbacterium	g__Ophiosphaerella	Steroidobacter	Sphingopyxis	Agromyces	g__Gibberella	Bradyrhizobium	Solirubrobacter	Bosea	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Glycomyces	Amycolatopsis	Gaiella	Sphingobium	g__Chrysosporium	Conexibacter	Saccharibacteria_genera_incertae_sedis	Luteimonas	Pseudonocardia	g__Exophiala	Phenylobacterium	Terrabacter	Brevundimonas	Achromobacter	g__Cyphellophora	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga
Promicromonospora	0	0.00289713230060788	3.10669011206555e-05	0.00017172120944226	0.00949904174056454	0.0061694292040827	4.04259444016751e-05	0.000347779184025321	0.00520610778419288	0.00239915696331727	0.00880123407167532	0.00335053436292838	0.00367882558066406	0.0013141714068705	0.0168133184087857	0.00117253728017774	0.00985384697098016	0.00174513797782845	8.97478268573934e-05	0.0244648427497504	0.0123424453230094	0.00251093273377094	0.00858770210049203	0.00985384697098016	0.00667007118738677	0.00589947917816691	0.00037452115514758	0.0251690854378627	0.00117253728017774	0.000129956065644528	0.00382907231003841	0.00216828711429609	0.00785120180703154	0.00815528116372047	0.00724983323021421	0.0128003496676357	0.0173457728375044	0.000204713377952181	0.0061694292040827	0.00262951141274441	0.00815528116372047	0.00985384697098016	0.0196774469308977	0.000660611392263069	0.030763744437831	0.00216828711429609	6.39025448309949e-05	0.00251093273377094	0.000347779184025321	0.000678579180911065
Flavobacterium	0.000225698556484369	0	0.000319897157499864	0.0237648001622949	0.000221672610367529	0.00124310931168237	0.00124310931168237	0.000870583719852118	6.68810538015835e-06	0.0106701597849081	0.00156138816996482	0.157006252196185	0.000761820738647834	0.0926696370715018	0.2181878089859	0.00985384697098016	0.000129956065644528	0.0584783609433618	0.0267067335111415	0.00117253728017774	0.149087654145097	0.00438826312027971	0.365938067674208	0.00156138816996482	0.0184985518802278	0.00111040401386504	0.000618785006736784	0.238904424520427	0.0244648427497504	0.0244648427497504	0.149087654145097	0.0184985518802278	0.0151600926109995	0.104253063243029	0.108572903985957	0.0209433223795031	0.000435078716498605	0.00367882558066406	0.157006252196185	0.0196774469308977	0.000870583719852118	0.0137162459646182	0.0733703557921478	0.0457702103836947	0.422029268026907	0.0128003496676357	0.00949904174056454	1.76396150352905e-05	0.00949904174056454	0.0138770148089282
Rhizobium	1.18449054439957e-07	6.42647355423362e-06	0	0.00111040401386504	0.00174513797782845	0.000204713377952181	1.71655752145734e-06	7.465160658649e-06	0.000982200498394705	0.000221672610367529	0.00216828711429609	0.0173457728375044	0.00589947917816691	0.0184985518802278	0.0749934658881162	0.00117253728017774	0.00139912477464872	0.0049797309247699	0.000347779184025321	0.00541924856404425	0.0128003496676357	0.00667007118738677	0.060465543214074	0.00565606878059174	0.020292529477274	0.000535710019872797	3.5786027973048e-05	0.0402520545011082	0.00239915696331727	0.00216828711429609	0.0316170693100201	0.0027509990979022	0.0173457728375044	0.00478248547614094	0.00949904174056454	0.028282654750661	0.00985384697098016	5.51052037556601e-06	0.0597976715819041	0.0118962920175195	0.00318615599050587	0.0209433223795031	0.00694313217480643	0.000660611392263069	0.131370902583534	0.00111040401386504	0.000221672610367529	0.000290773277123092	0.000347779184025321	0.000418342711042847
Phyllobacterium	2.38916465310971e-06	0.00521447933995862	4.85755334493471e-05	0	0.0749934658881162	0.0137162459646182	0.0027509990979022	0.00589947917816691	0.0334214866260904	0.000870583719852118	0.0102532049946585	0.0244648427497504	0.020292529477274	0.00251093273377094	0.0733703557921478	0.00589947917816691	0.0362513285769308	0.0141769013084548	0.00195365133651856	0.0888495489188306	0.0156953846781498	0.0156953846781498	0.0633935178149527	0.0216174646625424	0.0352473556462596	0.00289713230060788	0.00785120180703154	0.2181878089859	0.00418685670911299	0.000618785006736784	0.0141769013084548	0.0106701597849081	0.0230431402423762	0.0110474328433542	0.00457949951254156	0.064145616503525	0.0946162743459594	0.00382907231003841	0.0670951932047528	0.00949904174056454	0.0237648001622949	0.0412702556666904	0.0749934658881162	0.00541924856404425	0.104253063243029	0.0137162459646182	0.000580187228758013	0.0184985518802278	0.0137162459646182	0.00119835634976261
Lentzea	0.00138239120269041	3.71678490515902e-06	0.000100739403001067	0.0271397758044596	0	0.00174513797782845	0.00520610778419288	0.00335053436292838	0.0013141714068705	0.0362513285769308	0.0686311936642255	0.192200973847654	0.0362513285769308	0.303017508253253	0.375956000910955	0.0853037902367692	0.0251690854378627	0.0334214866260904	0.064145616503525	0.0162476596606231	0.117422438343013	0.0571119209628237	0.402481884348504	0.0801416082243079	0.146386678370548	0.000982200498394705	0.0141769013084548	0.100402036753142	0.162551016303804	0.131370902583534	0.0888495489188306	0.143688857854164	0.168036140770807	0.119753806704913	0.394314783964136	0.162551016303804	0.0132543576489425	0.0168133184087857	0.211435522978318	0.198580560772609	0.0146358741532333	0.176704800727436	0.0141769013084548	0.0853037902367692	0.303017508253253	0.115204901928527	0.0424297604779603	0.00755449817065484	0.046921650633767	0.121920719701484
Pseudoxanthomonas	0.000723824670499067	5.87601279992557e-05	3.21790259657274e-06	0.00234904091982681	0.000100739403001067	0	0.00117253728017774	0.00303805473225217	0.00847229744709026	0.000709570694760257	0.0156953846781498	0.146386678370548	0.0481055646525513	0.170771975680164	0.380390834021321	0.0274831365547108	0.00589947917816691	0.028282654750661	0.046921650633767	0.0223365424504938	0.0334214866260904	0.0853037902367692	0.27066686479981	0.0237648001622949	0.14110858525264	4.5381081886602e-05	0.00124310931168237	0.0801416082243079	0.0110474328433542	0.0749934658881162	0.154382537180264	0.0749934658881162	0.115204901928527	0.0244648427497504	0.0801416082243079	0.146386678370548	0.0506581112660738	0.000347779184025321	0.353998732083703	0.108572903985957	0.0267067335111415	0.151702066178414	0.0162476596606231	0.020292529477274	0.295155138486117	0.0209433223795031	0.0106701597849081	0.00303805473225217	0.0190926265934916	0.00294527492802776
Sphingomonas	1.86581281853885e-07	5.87601279992557e-05	5.74099505504129e-10	0.000209161804322107	0.000561238152431941	5.34635170114489e-05	0	2.78963481476785e-05	0.00205764520921946	0.00104083834621246	0.00303805473225217	0.00318615599050587	0.00541924856404425	0.00815528116372047	0.0316170693100201	0.00148502748267143	0.00318615599050587	0.000870583719852118	0.000221672610367529	0.00520610778419288	0.00589947917816691	0.0022720341333066	0.0366371642738045	0.00382907231003841	0.00880123407167532	0.00318615599050587	2.78963481476785e-05	0.0184985518802278	0.00195365133651856	0.00117253728017774	0.0184985518802278	0.00104083834621246	0.00847229744709026	0.00478248547614094	0.00565606878059174	0.0151600926109995	0.00694313217480643	1.06449290200983e-05	0.0251690854378627	0.00541924856404425	0.00165384375944881	0.00949904174056454	0.00335053436292838	8.97478268573934e-05	0.0670951932047528	0.000535710019872797	8.97478268573934e-05	0.000709570694760257	0.000406947220049863	0.000435078716498605
Chryseobacterium	7.32003455339806e-06	3.26104938539924e-05	9.65394243481922e-09	0.000679919907958634	0.000282012647046926	0.000243315331064655	9.32988232363828e-08	0	0.00251093273377094	0.00565606878059174	0.00755449817065484	0.00541924856404425	0.0184985518802278	0.0237648001622949	0.0392147767492437	0.00589947917816691	0.00438826312027971	0.00205764520921946	0.000347779184025321	0.00785120180703154	0.00303805473225217	0.0209433223795031	0.0417612336089344	0.020292529477274	0.0656147109231413	0.00382907231003841	8.97478268573934e-05	0.0237648001622949	0.0259428445729783	0.00914668367365871	0.017935659434938	0.00457949951254156	0.0597976715819041	0.00205764520921946	0.0141769013084548	0.0888495489188306	0.0146358741532333	5.69709396671992e-05	0.100402036753142	0.0290923170036378	0.0132543576489425	0.0481055646525513	0.00205764520921946	0.000435078716498605	0.143688857854164	0.00785120180703154	0.000156769178068079	0.000535710019872797	0.000204713377952181	0.00280674668127847
Massilia	0.000561238152431941	6.85959526170087e-09	3.99231105590534e-05	0.00857557342459417	6.44925588968109e-05	0.00116704244432829	0.000129763581946097	0.000179116588092182	0	0.0259428445729783	0.000264609329083089	0.159869247865604	7.8762015460858e-05	0.143688857854164	0.311237511334721	0.00914668367365871	5.69709396671992e-05	0.0983868596707905	0.0196774469308977	0.00318615599050587	0.315170353874775	0.00174513797782845	0.402481884348504	0.000535710019872797	0.00785120180703154	0.0110474328433542	0.00174513797782845	0.371506024670446	0.0381923031863887	0.0128003496676357	0.268061326545817	0.0123424453230094	0.00589947917816691	0.260487923876145	0.108572903985957	0.0123424453230094	0.000129956065644528	0.0137162459646182	0.126520076739372	0.0110474328433542	4.5381081886602e-05	0.00520610778419288	0.136077614081377	0.0670951932047528	0.625774420628791	0.00642188435491219	0.0274831365547108	2.78963481476785e-05	0.0196774469308977	0.0167901634177636
Herbaspirillum	0.000165507060078119	0.0016294297517689	3.71678490515902e-06	3.26104938539924e-05	0.00964034773549731	2.37789242859457e-05	4.40702791406345e-05	0.000638246691161088	0.0059324373230873	0	0.00367882558066406	0.121961149938371	0.0259428445729783	0.0156953846781498	0.28353627321649	0.00195365133651856	0.00815528116372047	0.0766514660104878	0.00400577344799628	0.00565606878059174	0.0412702556666904	0.0162476596606231	0.227108810255843	0.00815528116372047	0.0184985518802278	0.000925992216032467	0.00124310931168237	0.275546065566259	0.000290773277123092	0.00303805473225217	0.0686311936642255	0.00724983323021421	0.0132543576489425	0.00541924856404425	0.0141769013084548	0.0244648427497504	0.0372489796300892	0.000465645609735888	0.0835592218012768	0.0137162459646182	0.0128003496676357	0.0223365424504938	0.0392147767492437	0.00251093273377094	0.20823621096236	0.00205764520921946	0.00216828711429609	0.00724983323021421	0.0173457728375044	0.000445182293962137
